transaction_id,date,region,product_category,amount,customer_income,customer_age
35,2024-04-17,East,Groceries,41.65,77101.85,52.0
36,2024-02-24,East,Groceries,40.1,91024.33,37.0
37,2024-03-04,South,Home Goods,39.51,61679.13,39.0
38,2024-05-10,North,Clothing,60.63,66077.69,54.0
39,2024-02-20,East,Electronics,53.36,46795.85,24.0
40,2024-05-14,South,Electronics,47.03,44707.15,43.0
41,2024-01-21,West,Groceries,33.53,75507.44,51.0
42,2024-03-13,West,Clothing,47.47,73522.88,42.0
43,2024-06-15,West,Toys,53.91,44555.7,50.0
44,2024-01-18,North,Electronics,54.48,40376.69,16.0
45,2024-05-11,South,Groceries,52.41,50268.95,57.0
46,2024-03-29,North,Electronics,36.16,,51.0
47,2024-02-29,East,Electronics,13.95,53863.1,48.0
48,2024-01-14,West,Clothing,76.99,62407.72,40.0
49,2024-01-09,West,Clothing,30.36,73755.94,28.0
50,2024-03-30,East,Groceries,20.53,66931.57,36.0
51,2024-02-22,West,Toys,51.96,68041.81,43.0
52,2024-05-09,West,Groceries,24.37,23226.95,41.0
53,2024-03-24,South,Toys,505.08,,38.0
54,2024-04-01,West,Home Goods,58.23,48053.15,44.0
55,2024-04-20,South,Groceries,76.59,50529.1,46.0
56,2024-06-20,South,Home Goods,55.81,72597.42,48.0
57,2024-01-08,East,Groceries,43.41,46816.48,30.0
58,2024-06-23,south,Electronics,49.23,70003.91,58.0
59,2024-02-04,East,Groceries,22.87,48223.41,45.0
60,2024-03-21,East,Electronics,43.24,41986.74,42.0
61,2024-06-12,East,Groceries,43.25,42683.26,59.0
62,2024-02-19,South,Groceries,52.3,93874.0,23.0
63,2024-04-13,East,Electronics,79.13,47889.53,46.0
64,2024-05-11,East,Electronics,20.95,70364.81,35.0
65,2024-01-02,East,Toys,43.88,36627.02,37.0
66,2024-05-13,East,Groceries,22.5,,58.0
67,2024-02-23,North,Electronics,42.45,65235.62,53.0
68,2024-04-15,East,Groceries,37.03,64109.68,59.0
69,2024-01-04,North,Groceries,27.58,66207.41,46.0
70,2024-02-23,East,Clothing,63.7,67860.0,37.0
71,2024-05-25,West,Toys,53.83,72136.01,59.0
72,2024-02-13,East,Groceries,61.94,51013.54,27.0
73,2024-06-10,East,Clothing,42.03,50136.18,46.0
74,2024-01-14,West,Home Goods,48.94,60738.36,46.0
75,2024-04-04,West,Home Goods,73.92,70266.42,47.0
76,2024-02-17,West,Electronics,49.96,59000.17,39.0
77,2024-01-15,south,Electronics,62.12,71608.53,30.0
78,2024-02-09,North,Electronics,40.74,69267.55,26.0
79,2024-03-22,North,Groceries,60.74,56745.25,46.0
80,2024-04-20,East,Groceries,41.77,33792.3,48.0
81,2024-02-22,South,Groceries,21.55,52447.08,34.0
82,2024-01-24,East,Toys,49.89,86141.96,59.0
83,2024-06-02,South,Home Goods,42.95,65100.89,37.0
84,2024-05-03,East,Electronics,25.63,,33.0
85,2024-02-10,West,Clothing,52.87,63759.77,17.0
86,2024-06-05,West,Clothing,36.6,70149.66,47.0
87,2024-01-15,East,Clothing,96.39,50414.02,38.0
88,2024-02-14,West,Groceries,28.03,78530.76,26.0
89,2024-03-05,East,Home Goods,31.81,67435.47,33.0
90,2024-03-29,West,Clothing,63.04,43501.37,28.0
91,2024-03-11,North,Groceries,48.0,72845.49,16.0
92,2024-01-09,West,Home Goods,62.74,53855.8,43.0
93,2024-03-28,East,Clothing,55.71,57313.04,35.0
94,2024-05-08,South,Electronics,322.41,44760.47,51.0
95,2024-05-15,North,Clothing,29.31,69471.7,51.0
96,2024-03-03,East,Electronics,66.07,57767.02,36.0
97,2024-05-18,North,Toys,30.67,70106.35,57.0
98,2024-03-21,North,Electronics,58.38,51735.26,44.0
99,2024-05-15,East,Clothing,63.78,50018.95,74.0
100,2024-06-11,East,Clothing,48.1,48803.44,47.0
101,2024-06-11,East,Toys,45.44,65940.48,42.0
102,2024-02-02,West,Electronics,35.24,,14.0
103,2024-05-02,East,Electronics,N/A,56953.31,54.0
104,2024-01-05,East,Electronics,4.31,52223.6,28.0
105,2024-02-10,North,Electronics,60.74,66601.26,31.0
106,2024-01-28,West,Electronics,51.79,33970.46,18.0
107,2024-05-14,South,Groceries,46.66,63705.49,52.0
108,2024-03-12,West,Electronics,53.63,85970.15,39.0
109,2024-01-12,West,Electronics,29.4,78540.39,26.0
110,2024-06-10,East,Home Goods,13.81,50750.2,45.0
111,2024-02-02,North,Clothing,57.03,67419.03,43.0
112,2024-02-17,West,Clothing,69.75,64508.48,32.0
113,2024-05-30,West,Clothing,23.91,,57.0
114,2024-03-02,North,Toys,34.21,22348.28,34.0
115,2024-02-06,South,Electronics,559.46,,24.0
116,2024-04-08,West,Home Goods,55.38,55987.23,28.0
117,2024-06-20,North,Home Goods,94.45,48851.57,44.0
118,2024-04-13,West,Electronics,66.13,48422.97,46.0
119,2024-02-04,East,Toys,62.53,40501.41,55.0
120,2024-04-10,North,Electronics,38.54,50788.22,49.0
121,2024-06-23,West,Electronics,57.87,43803.99,49.0
122,2024-05-10,South,Home Goods,72.43,62703.26,49.0
123,2024-01-01,East,Groceries,47.53,68849.06,41.0
124,2024-01-05,North,Groceries,48.24,,25.0
125,2024-05-21,North,Electronics,52.12,82495.85,42.0
126,2024-04-12,south,Clothing,40.03,51773.68,28.0
127,2024-01-27,East,Home Goods,54.03,55367.06,23.0
128,2024-05-16,East,Clothing,53.66,52905.89,36.0
129,2024-01-15,West,Clothing,72.2,68979.28,34.0
130,2024-03-30,East,Electronics,47.16,70493.6,43.0
131,2024-02-11,North,Electronics,60.12,67430.5,46.0
132,2024-05-03,South,Home Goods,47.61,58138.37,52.0
133,2024-06-27,West,Clothing,59.6,39890.66,61.0
134,2024-03-03,West,Toys,46.25,55208.39,40.0
135,2024-04-05,East,Clothing,58.6,82172.1,37.0
136,2024-02-21,South,Groceries,60.92,75198.57,42.0
137,2024-04-05,South,Electronics,591.98,64410.76,31.0
138,2024-05-11,West,Clothing,66.54,,58.0
139,2024-05-30,West,Electronics,47.5,59795.72,58.0
140,2024-05-22,East,Clothing,42.95,54299.94,44.0
141,2024-06-19,West,Clothing,39.35,77895.78,52.0
142,2024-01-29,West,Toys,54.47,47415.5,36.0
143,2024-02-05,North,Groceries,49.93,,19.0
144,2024-01-13,East,Electronics,55.56,52061.96,27.0
145,2024-06-08,south,Electronics,55.85,79813.9,39.0
146,2024-03-11,South,Electronics,59.13,,36.0
147,2024-03-26,West,Groceries,91.64,48759.19,62.0
148,2024-01-28,East,Home Goods,50.6,55360.31,31.0
149,2024-03-06,East,Toys,38.98,70674.61,21.0
150,2024-06-18,SOUTH ,Electronics,19.7,52512.86,51.0
151,2024-02-14,South,Clothing,32.07,60332.05,46.0
152,2024-03-02,South,Clothing,68.53,52305.84,23.0
153,2024-05-13,South,Groceries,60.8,86386.76,61.0
154,2024-01-28,East,Groceries,29.75,88966.08,43.0
155,2024-01-28,South,Groceries,86.96,81946.86,37.0
156,2024-04-17,East,Groceries,54.9,58134.39,61.0
157,2024-02-13,North,Electronics,56.9,53958.71,29.0
158,2024-03-24,North,Home Goods,83.66,,40.0
159,2024-01-30,South,Electronics,76.09,83035.82,30.0
160,2024-03-15,East,Groceries,61.72,73960.86,9.0
161,2024-05-07,East,Clothing,62.44,74681.41,66.0
162,2024-04-01,East,Clothing,63.84,56251.08,18.0
163,2024-05-08,East,Toys,46.39,33631.54,58.0
164,2024-04-30,West,Home Goods,54.3,37080.64,54.0
165,2024-01-27,North,Home Goods,58.61,60864.51,10.0
166,2024-04-30,South,Clothing,48.1,52159.89,57.0
167,2024-04-25,West,Groceries,35.52,50434.48,55.0
168,2024-01-03,East,Clothing,46.01,65177.23,37.0
169,2024-04-12,South,Home Goods,35.18,75204.9,21.0
170,2024-06-03,West,Clothing,50.97,49481.59,44.0
171,2024-05-16,West,Toys,23.29,40415.85,38.0
172,2024-03-02,South,Toys,55.12,49837.93,45.0
173,2024-06-13,East,Groceries,25.53,44340.54,57.0
174,2024-02-20,East,Electronics,43.95,68892.49,39.0
175,2024-06-20,East,Electronics,57.56,59938.37,67.0
176,2024-05-31,South,Home Goods,61.87,88207.34,57.0
177,2024-02-28,South,Electronics,528.29,71020.28,43.0
178,2024-04-27,East,Home Goods,54.8,87207.84,35.0
179,2024-06-08,East,Clothing,33.21,38941.87,46.0
180,2024-04-05,West,Clothing,64.71,11207.12,44.0
181,2024-06-28,East,Toys,33.55,,48.0
182,2024-04-22,North,Groceries,66.42,61848.3,35.0
183,2024-03-02,East,Groceries,59.42,58158.22,53.0
184,2024-02-21,South,Groceries,70.38,61436.95,26.0
185,2024-01-12,East,Clothing,50.37,43139.61,33.0
186,2024-02-08,East,Home Goods,37.72,68447.68,34.0
187,2024-05-09,South,Electronics,429.28,71042.9,39.0
188,2024-05-10,East,Toys,32.28,42003.77,50.0
189,2024-04-22,North,Home Goods,25.45,54695.45,52.0
190,2024-04-10,North,Clothing,64.13,55622.04,26.0
191,2024-04-22,South,Groceries,66.01,49937.84,42.0
192,2024-03-21,South,Groceries,58.31,42583.31,51.0
193,2024-04-22,West,Clothing,49.5,60187.57,39.0
194,2024-01-02,East,Toys,80.91,63912.08,52.0
195,2024-05-09,SOUTH ,Electronics,503.86,50847.27,60.0
196,2024-02-23,East,Electronics,53.31,43638.17,41.0
197,2024-03-27,North,Clothing,49.28,66158.36,33.0
198,2024-05-08,West,Clothing,44.93,48490.19,47.0
199,2024-05-26,East,Groceries,59.46,55361.92,48.0
200,2024-05-05,West,Home Goods,40.5,,46.0
201,2024-05-09,North,Groceries,39.49,78685.63,44.0
202,2024-02-22,East,Groceries,60.22,49178.54,29.0
203,2024-06-20,East,Electronics,42.54,85882.9,60.0
204,2024-06-08,West,Clothing,52.0,71284.53,43.0
205,2024-06-08,North,Electronics,44.88,87313.48,51.0
206,2024-03-08,South,Electronics,459.07,69969.58,31.0
207,2024-05-02,West,Groceries,39.9,56684.33,50.0
208,2024-05-24,East,Electronics,40.39,46239.51,34.0
209,2024-02-07,South,Electronics,433.95,54668.83,38.0
210,2024-01-24,North,Electronics,62.65,82309.22,28.0
211,2024-03-09,West,Toys,52.58,59280.92,46.0
212,2024-04-25,North,Toys,63.78,69913.79,52.0
213,2024-04-07,West,Groceries,65.38,63104.57,28.0
214,2024-05-18,south,Toys,43.1,63744.92,38.0
215,2024-05-23,South,Home Goods,63.22,64322.4,55.0
216,2024-04-06,East,Groceries,49.79,67430.12,41.0
217,2024-05-03,North,Electronics,47.62,47788.39,41.0
218,2024-03-10,South,Home Goods,68.79,55876.44,34.0
219,2024-04-02,West,Groceries,58.31,64639.7,28.0
220,2024-01-03,West,Groceries,44.71,62452.31,32.0
221,2024-05-27,East,Home Goods,57.33,53081.93,54.0
222,2024-06-12,East,Clothing,31.01,66249.01,47.0
223,2024-05-26,North,Groceries,53.71,48432.88,45.0
224,2024-03-30,North,Toys,27.51,41654.91,52.0
225,2024-05-26,North,Clothing,35.23,64424.79,52.0
226,2024-05-27,South,Groceries,58.77,42022.62,38.0
227,2024-04-05,South,Clothing,9.95,64201.86,36.0
228,2024-02-21,South,Groceries,77.04,30679.79,32.0
229,2024-06-09,South,Home Goods,62.52,49125.18,49.0
230,2024-06-16,South,Electronics,22.42,55086.35,56.0
231,2024-05-07,SOUTH ,Groceries,85.98,,58.0
232,2024-02-08,West,Electronics,90.11,,47.0
233,2024-03-22,South,Groceries,47.29,,30.0
234,2024-04-13,West,Clothing,36.1,40945.37,39.0
235,2024-05-08,West,Home Goods,75.29,54819.4,46.0
236,2024-01-11,North,Electronics,44.84,85539.67,33.0
237,2024-06-26,West,Groceries,52.42,,47.0
238,2024-05-30,East,Electronics,68.26,80958.35,38.0
239,2024-06-07,East,Home Goods,47.7,55814.92,44.0
240,2024-02-11,South,Toys,592.53,,36.0
241,2024-04-08,East,Toys,30.91,79372.23,31.0
242,2024-01-07,South,Home Goods,40.54,,39.0
243,2024-05-23,East,Home Goods,46.09,69465.39,38.0
244,2024-03-30,East,Electronics,31.42,73268.96,36.0
245,2024-04-21,East,Clothing,32.78,50237.79,54.0
246,2024-02-29,East,Clothing,50.5,48578.55,47.0
247,2024-04-22,West,Home Goods,22.25,56570.95,57.0
248,2024-01-02,North,Toys,36.81,57040.27,45.0
249,2024-05-08,South,Electronics,511.97,43815.78,46.0
250,2024-02-17,West,Toys,44.82,50375.99,17.0
251,2024-05-19,South,Groceries,42.94,7996.44,42.0
252,2024-02-06,North,Groceries,44.75,54985.91,43.0
253,2024-06-08,North,Electronics,44.99,73415.91,52.0
254,2024-01-09,South,Electronics,409.4,34999.66,22.0
255,2024-04-08,West,Groceries,57.57,53052.83,51.0
256,2024-05-26,East,Groceries,44.14,96634.99,43.0
257,2024-02-17,West,Electronics,46.79,59661.6,44.0
258,2024-05-10,East,Groceries,69.69,80351.92,55.0
259,2024-05-27,East,Home Goods,27.35,44821.27,65.0
260,2024-05-31,South,Home Goods,49.14,66732.28,43.0
261,2024-02-23,East,Toys,52.03,42266.73,32.0
262,2024-04-29,North,Clothing,38.35,66015.97,44.0
263,2024-06-09,West,Clothing,48.27,72633.72,38.0
264,2024-05-31,West,Groceries,36.32,,51.0
265,2024-04-25,South,Clothing,59.56,54825.94,51.0
266,2024-03-15,West,Electronics,29.93,64124.0,21.0
267,2024-04-22,West,Electronics,65.94,64267.38,48.0
268,2024-06-12,East,Clothing,48.9,69989.84,50.0
269,2024-06-14,North,Electronics,43.28,,42.0
270,2024-04-13,East,Clothing,34.93,73967.08,33.0
271,2024-03-24,East,Electronics,65.46,81519.08,35.0
272,2024-04-21,South,Electronics,552.37,55231.99,37.0
273,2024-04-08,North,Groceries,32.49,60696.6,15.0
274,2024-06-01,West,Groceries,65.77,46427.78,44.0
275,2024-04-02,North,Groceries,36.44,65103.86,45.0
276,2024-05-25,East,Electronics,48.58,,35.0
277,2024-05-07,West,Electronics,62.28,60869.8,43.0
278,2024-04-19,West,Groceries,52.37,62000.99,52.0
279,2024-03-22,South,Groceries,75.96,,45.0
280,2024-02-23,West,Clothing,37.48,16699.16,49.0
281,2024-06-11,North,Clothing,46.84,,50.0
282,2024-06-17,North,Toys,48.0,54844.14,36.0
283,2024-06-09,East,Clothing,59.32,81853.69,58.0
284,2024-03-08,South,Clothing,69.33,67129.33,41.0
285,2024-02-02,South,Groceries,51.1,67495.29,30.0
286,2024-05-21,East,Clothing,47.94,78897.84,48.0
287,2024-01-21,North,Clothing,27.76,57300.65,30.0
288,2024-02-17,South,Clothing,51.69,69784.9,26.0
289,2024-05-27,East,Home Goods,40.25,52038.51,40.0
290,2024-05-07,West,Electronics,59.28,44200.41,47.0
291,2024-05-15,East,Electronics,43.85,86912.5,45.0
292,2024-05-14,South,Clothing,46.39,65535.48,43.0
293,2024-05-24,East,Home Goods,28.1,69669.94,57.0
294,2024-05-07,North,Electronics,22.83,43797.38,41.0
295,2024-02-02,North,Toys,77.91,,36.0
296,2024-06-24,West,Clothing,51.95,86673.49,51.0
297,2024-04-24,South,Toys,56.07,55838.25,39.0
298,2024-04-28,North,Toys,36.32,41163.01,50.0
299,2024-01-22,East,Clothing,63.13,62759.64,44.0
300,2024-06-06,East,Electronics,60.43,44461.55,52.0
301,2024-02-07,East,Electronics,37.96,36633.02,32.0
302,2024-04-18,South,Electronics,34.11,48978.51,52.0
303,2024-02-20,South,Groceries,39.01,52611.03,36.0
304,2024-01-08,South,Electronics,49.58,45191.25,57.0
305,2024-01-27,North,Clothing,52.51,79897.0,24.0
306,2024-01-27,East,Clothing,50.58,,30.0
307,2024-01-21,West,Toys,69.48,69271.32,36.0
308,2024-01-30,West,Electronics,39.28,65762.93,40.0
309,2024-04-06,West,Electronics,33.7,57869.28,15.0
310,2024-01-28,East,Electronics,50.0,46555.01,48.0
311,2024-04-20,East,Toys,24.6,84043.65,51.0
312,2024-03-01,South,Groceries,60.44,59057.2,31.0
313,2024-02-17,East,Electronics,51.47,53061.22,62.0
314,2024-05-26,East,Electronics,44.93,75221.35,48.0
315,2024-01-04,North,Electronics,44.1,58896.24,47.0
316,2024-02-04,South,Electronics,63.65,74659.41,47.0
317,2024-02-18,West,Toys,63.17,53853.77,47.0
318,2024-01-17,South,Home Goods,46.3,75264.55,35.0
319,2024-06-20,North,Clothing,58.88,74696.51,41.0
320,2024-06-06,East,Home Goods,62.95,79872.43,42.0
321,2024-02-15,West,Electronics,55.03,49358.63,29.0
322,2024-04-26,East,Groceries,46.92,58754.41,52.0
323,2024-01-06,East,Home Goods,55.72,89216.55,36.0
324,2024-04-08,North,Clothing,34.41,,51.0
325,2024-05-03,East,Home Goods,51.07,72165.39,40.0
326,2024-02-06,South,Electronics,46.5,94358.48,48.0
327,2024-01-24,West,Electronics,44.15,32264.38,25.0
328,2024-04-02,East,Electronics,24.1,55806.67,34.0
329,2024-02-15,North,Clothing,34.59,60028.05,28.0
330,2024-04-04,North,Groceries,42.71,33016.82,54.0
331,2024-04-08,North,Toys,63.43,53160.43,30.0
332,2024-04-25,South,Groceries,54.29,45429.28,38.0
333,2024-06-08,South,Home Goods,64.1,72865.28,61.0
334,2024-06-09,East,Home Goods,68.64,34010.29,48.0
335,2024-03-07,East,Electronics,54.94,88339.84,34.0
336,2024-05-07,South,Clothing,52.1,70348.46,55.0
337,2024-01-18,North,Electronics,35.41,44192.68,26.0
338,2024-01-25,North,Groceries,79.8,75396.29,43.0
339,2024-02-23,West,Toys,28.73,68954.7,32.0
340,2024-02-27,South,Electronics,51.78,59418.49,47.0
341,2024-03-07,East,Groceries,62.49,49178.15,52.0
342,2024-04-13,West,Groceries,62.7,68214.95,15.0
343,2024-06-22,East,Groceries,32.67,61843.81,57.0
344,2024-01-24,West,Clothing,43.7,49661.39,31.0
345,2024-04-23,South,Clothing,38.02,39851.17,50.0
346,2024-02-01,West,Electronics,20.29,47241.16,40.0
347,2024-06-23,North,Electronics,51.95,52450.53,47.0
348,2024-03-26,North,Electronics,39.24,77437.31,42.0
349,2024-05-30,East,Groceries,72.58,72911.38,47.0
350,2024-05-06,West,Electronics,59.23,53248.99,63.0
351,2024-06-03,West,Home Goods,50.62,53832.09,46.0
352,2024-05-09,North,Clothing,42.91,74870.28,51.0
353,2024-01-17,South,Groceries,51.73,64010.2,34.0
354,2024-04-13,West,Clothing,46.16,63801.22,47.0
355,2024-06-09,South,Groceries,51.04,49449.37,55.0
356,2024-05-16,West,Toys,78.52,58148.72,52.0
357,2024-02-12,West,Electronics,34.03,,24.0
358,2024-06-24,East,Electronics,47.47,58632.12,59.0
359,2024-02-08,South,Home Goods,60.6,71011.02,40.0
360,2024-06-18,East,Electronics,44.0,71480.31,47.0
361,2024-01-26,South,Electronics,73.71,46215.63,35.0
362,2024-04-08,West,Clothing,60.18,52496.78,50.0
363,2024-02-19,East,Electronics,39.22,49689.4,27.0
364,2024-06-01,West,Groceries,53.06,80827.89,55.0
365,2024-05-31,North,Electronics,39.43,93802.36,36.0
366,2024-01-13,West,Home Goods,38.05,53045.68,37.0
367,2024-02-29,East,Home Goods,47.9,57493.57,32.0
368,2024-05-14,North,Groceries,68.96,72634.72,61.0
369,2024-02-26,North,Groceries,61.18,49391.83,48.0
370,2024-02-05,West,Home Goods,49.66,72973.62,32.0
371,2024-06-21,East,Electronics,61.72,,59.0
372,2024-01-20,West,Home Goods,54.03,33843.9,26.0
373,2024-03-05,North,Home Goods,32.45,,42.0
374,2024-01-08,North,Groceries,47.82,54932.19,58.0
375,2024-05-23,East,Groceries,48.9,78344.23,48.0
376,2024-05-21,South,Electronics,438.08,46611.98,54.0
377,2024-04-24,East,Clothing,41.5,51988.49,57.0
378,2024-05-22,West,Home Goods,36.31,63166.86,42.0
379,2024-04-01,West,Electronics,49.32,34968.53,26.0
380,2024-04-07,West,Home Goods,40.32,64478.3,33.0
381,2024-03-06,West,Electronics,45.15,36843.9,27.0
382,2024-02-01,South,Electronics,473.87,68507.76,27.0
383,2024-03-26,East,Electronics,44.25,47868.33,18.0
384,2024-02-20,East,Electronics,64.45,45869.26,53.0
385,2024-06-01,West,Clothing,71.21,64091.95,49.0
386,2024-03-03,North,Electronics,62.94,,38.0
387,2024-05-04,East,Toys,23.43,65643.9,40.0
388,2024-05-29,North,Groceries,40.37,63114.65,59.0
389,2024-02-27,East,Electronics,47.32,63327.03,27.0
390,2024-02-27,West,Groceries,22.31,65734.83,24.0
391,2024-03-26,West,Home Goods,36.86,66720.54,42.0
392,2024-02-18,South,Groceries,47.13,54085.78,32.0
393,2024-06-28,West,Electronics,43.27,69817.54,57.0
394,2024-06-18,East,Home Goods,50.13,48027.15,48.0
395,2024-03-10,North,Home Goods,29.29,76370.9,32.0
396,2024-01-15,SOUTH ,Electronics,491.26,71736.65,23.0
397,2024-02-23,South,Electronics,52.28,92713.52,40.0
398,2024-04-10,North,Groceries,50.15,67707.73,45.0
399,2024-01-08,West,Electronics,56.7,73636.5,50.0
400,2024-02-22,East,Home Goods,55.83,36591.93,29.0
401,2024-02-29,West,Clothing,43.89,74125.45,24.0
402,2024-04-17,South,Toys,459.88,,47.0
403,2024-01-05,North,Groceries,38.0,82570.82,28.0
404,2024-04-12,East,Electronics,45.95,61807.0,39.0
405,2024-01-06,North,Electronics,34.17,54871.6,21.0
406,2024-04-18,East,Groceries,65.98,43657.28,49.0
407,2024-04-25,West,Home Goods,45.9,45029.46,43.0
408,2024-04-03,East,Home Goods,65.96,59615.9,42.0
409,2024-02-16,East,Electronics,54.67,33728.43,25.0
410,2024-04-08,North,Electronics,36.72,48476.72,43.0
411,2024-02-24,North,Electronics,53.77,61342.83,39.0
412,2024-06-16,North,Groceries,62.15,61008.05,49.0
413,2024-02-21,East,Electronics,48.84,45459.09,27.0
414,2024-05-23,North,Clothing,51.11,41492.05,42.0
415,2024-01-13,south,Groceries,41.73,43732.31,41.0
416,2024-04-23,East,Toys,50.36,56687.22,57.0
417,2024-05-03,South,Clothing,53.57,91946.96,59.0
418,2024-04-15,North,Electronics,41.32,75905.09,58.0
419,2024-06-06,South,Groceries,33.81,63212.92,40.0
420,2024-05-26,SOUTH ,Groceries,69.32,68308.36,48.0
421,2024-05-24,East,Clothing,59.06,75237.97,55.0
422,2024-04-29,East,Toys,41.79,70134.28,56.0
423,2024-03-03,North,Home Goods,53.29,55376.85,39.0
424,2024-01-19,West,Electronics,27.82,47316.18,23.0
425,2024-04-01,East,Electronics,20.34,58120.89,40.0
426,2024-02-27,south,Clothing,66.26,75063.63,42.0
427,2024-03-30,West,Home Goods,53.44,,36.0
428,2024-04-26,South,Electronics,536.3,43429.87,35.0
429,2024-03-02,East,Groceries,53.49,34148.28,37.0
430,2024-01-23,East,Groceries,98.39,58184.54,44.0
431,2024-05-06,South,Electronics,417.27,44615.37,56.0
432,2024-05-16,south,Groceries,34.32,53452.26,40.0
433,2024-05-19,West,Toys,24.79,81843.49,49.0
434,2024-05-08,East,Electronics,65.82,59192.25,60.0
435,2024-02-27,North,Clothing,62.84,48743.09,24.0
436,2024-05-01,North,Clothing,58.63,64631.27,59.0
437,2024-01-01,South,Home Goods,37.81,88814.32,39.0
438,2024-02-03,West,Toys,55.45,58189.56,43.0
439,2024-04-05,South,Clothing,39.15,24667.11,40.0
440,2024-05-05,East,Home Goods,59.94,69751.15,61.0
441,2024-04-27,West,Clothing,64.74,65196.45,41.0
442,2024-02-17,North,Clothing,41.85,61351.84,12.0
443,2024-03-29,East,Electronics,66.98,56712.34,36.0
444,2024-04-26,North,Electronics,51.72,47890.92,43.0
445,2024-05-08,West,Electronics,57.38,82724.61,45.0
446,2024-01-16,East,Groceries,30.36,,34.0
447,2024-03-09,North,Electronics,53.48,55365.58,36.0
448,2024-01-22,South,Toys,533.11,55014.9,31.0
449,2024-04-02,East,Electronics,57.12,,37.0
450,2024-03-16,West,Electronics,72.01,78534.91,31.0
451,2024-06-02,West,Clothing,54.34,56598.99,49.0
452,2024-05-23,East,Groceries,36.49,62894.49,52.0
453,2024-06-27,North,Electronics,59.4,,60.0
454,2024-03-26,North,Clothing,56.03,75799.89,54.0
455,2024-01-29,North,Toys,80.88,75490.96,27.0
456,2024-03-09,East,Electronics,53.81,51923.8,33.0
457,2024-02-16,West,Clothing,41.22,,32.0
458,2024-04-03,East,Home Goods,61.56,65748.78,31.0
459,2024-05-23,North,Electronics,48.08,,43.0
460,2024-06-24,East,Clothing,51.2,,45.0
461,2024-03-25,West,Clothing,36.07,60302.82,32.0
462,2024-02-08,West,Clothing,48.16,62368.36,40.0
463,2024-04-09,West,Electronics,50.46,39659.91,16.0
464,2024-02-02,South,Electronics,516.31,46230.58,31.0
465,2024-04-10,North,Clothing,41.14,72266.33,51.0
466,2024-01-23,West,Electronics,54.32,41841.18,34.0
467,2024-01-10,East,Home Goods,36.15,67051.64,40.0
468,2024-03-09,South,Clothing,32.62,58778.61,29.0
469,2024-04-09,West,Clothing,60.64,,38.0
470,2024-02-03,West,Home Goods,59.27,69732.01,51.0
471,2024-06-28,East,Groceries,30.39,,61.0
472,2024-05-17,East,Electronics,22.56,56651.27,41.0
473,2024-05-26,South,Toys,472.69,,56.0
474,2024-04-05,East,Electronics,48.08,58044.03,30.0
475,2024-01-01,East,Electronics,67.32,40947.77,27.0
476,2024-03-09,West,Home Goods,47.71,56719.4,32.0
477,2024-01-04,West,Clothing,38.46,50431.23,27.0
478,2024-01-16,West,Clothing,52.23,46850.56,26.0
479,2024-01-24,North,Electronics,48.29,77815.87,23.0
480,2024-03-20,West,Clothing,29.28,40856.84,41.0
481,2024-01-02,West,Electronics,29.37,45554.02,33.0
482,2024-05-07,East,Toys,29.78,,49.0
483,2024-06-08,West,Electronics,87.2,52783.23,53.0
484,2024-03-24,West,Home Goods,62.9,46848.32,20.0
485,2024-05-31,East,Groceries,41.09,,44.0
